,Permit#,Permit Type,Subtype,Address,Work Description,Issue Date,Expiration Date
3507,ULD22-000002,Unzoned Land Disturbance,Unzoned Land Disturbance,0 TWIN BEECH RD,"Construction of 6,119 SF Wawa gas station and convenience store at SEC of US 98 and Twin Beech Road",02/18/2022,02/09/2024
3508,ULD22-000027,Unzoned Land Disturbance,Unzoned Land Disturbance,,Fairhope Falls Phase 1 Lots - Clearing & Grading. See attached lot details for PPIN's & PID's,03/14/2022,06/02/2023
3509,ULD22-000039,Unzoned Land Disturbance,Unzoned Land Disturbance,17549 RIVER RD,Construct a single family home on pilings. Home is 2046 sq ft heated/cooled with 81 sq ft front porch and 336 sq ft back porch.porch and,03/26/2022,09/26/2022
3510,ULD22-000087,Unzoned Land Disturbance,Unzoned Land Disturbance,6452 COOK RD,Open pole barn,06/24/2022,12/24/2022
3511,ULD22-000151,Unzoned Land Disturbance,Unzoned Land Disturbance,33458 BROWNS LANDING RD,Residential Barn New Construction,11/22/2022,05/22/2023
3512,ULD22-000163,Unzoned Land Disturbance,Unzoned Land Disturbance,,to construct a new home,12/21/2022,06/21/2023
3513,ULD23-000021,Unzoned Land Disturbance,Unzoned Land Disturbance,5928 HERITAGE CIR,Haul dirt in for yard maintenance,03/09/2023,09/09/2023
3514,ULD23-000026,Unzoned Land Disturbance,Unzoned Land Disturbance,6489 CALLAWAY ACRES RD,Addition to current single family home,03/21/2023,09/21/2023
3515,ULD23-000041,Unzoned Land Disturbance,Unzoned Land Disturbance,12871 -A LIPSCOMB RD,Pond Enlargement and Grading,05/11/2023,11/11/2023
3516,ULD23-000067,Unzoned Land Disturbance,Unzoned Land Disturbance,13740 FISH RIVER ACRES CIR,New Single Family Dwelling,07/25/2023,01/25/2024
3517,ULD23-000059,Unzoned Land Disturbance,Unzoned Land Disturbance,16901 SWEENEY RD,New Construction,07/31/2023,01/31/2024
3518,ULD23-000071,Unzoned Land Disturbance,Unzoned Land Disturbance,6475 COOK RD,05-61-09-30-0-000-010.002,08/01/2023,02/01/2024
3519,ULD23-000076,Unzoned Land Disturbance,Unzoned Land Disturbance,11199 MOCKINGBIRD LN,Demo of old house,08/02/2023,02/02/2024
3520,ULD23-000078,Unzoned Land Disturbance,Unzoned Land Disturbance,16309 RIVER PARK RD,Leveling of ground for homesite construction,08/07/2023,02/07/2024
3526,ZLD22-000044,Zoned Land Disturbance,Zoned-Land Disturbance,30695 PENINSULA DR,Backfill 20 cubic yards of white sand behind new bulkhead,06/21/2022,12/21/2022
3527,ZLD22-000049,Zoned Land Disturbance,Zoned-Land Disturbance,32235 WHISPERING CIR,stump removal,07/26/2022,01/26/2023
3528,ZLD22-000080,Zoned Land Disturbance,Zoned-Land Disturbance,699 CHEROKEE RD,Bring in sand to backfill bulkhead and level yard from erosion from Hurricane Sally. Bring in aggregate for existing driveway.,10/17/2022,04/17/2023
3529,ZLD22-000098,Zoned Land Disturbance,Zoned-Land Disturbance,18498 COUNTY RD 12,Filling and grading agriculture,12/20/2022,02/14/2024
3530,ZLD22-000092,Zoned Land Disturbance,Zoned-Land Disturbance,11105 COUNTY RD 1,Filling Wetlands ***PENDING A VARIANCE***,12/22/2022,06/22/2023
3531,ZLD23-000007,Zoned Land Disturbance,Zoned-Land Disturbance,5740 BEACH BLVD,SAND FILL AROUND SLAB,01/26/2023,07/26/2023
3532,ZLD23-000030,Zoned Land Disturbance,Zoned-Land Disturbance,22251 COUNTY RD 85,Site preparation for future shop/barn & excavation for recreational farm pond,03/21/2023,10/05/2023
3533,ZLD23-000019,Zoned Land Disturbance,Zoned-Land Disturbance,18830 CHERISHED PL,grading both sides of a pond and filling small holes around my house with sand,04/25/2023,10/25/2023
3534,ZLD23-000016,Zoned Land Disturbance,Zoned-Land Disturbance,SCENIC HWY 98,Brush cut uplands we do every year and spread dirt for driveway,04/27/2023,10/27/2023
3535,ZLD23-000072,Zoned Land Disturbance,Zoned-Land Disturbance,694 BONITA CT,build sea wall,06/12/2023,12/12/2023
3536,ZLD23-000081,Zoned Land Disturbance,Zoned-Land Disturbance,9733 WOLF CREEK,CLEARING,07/05/2023,01/05/2024
3537,ZLD23-000094,Zoned Land Disturbance,Zoned-Land Disturbance,6642 BEACH SHORE DR,"Install three car concrete driveway 4"" with 6"" tips on the edges, only to be on top of the pre-existing established driveway and not to extend under the house.",07/12/2023,01/12/2024
3538,ZLD23-000071,Zoned Land Disturbance,Zoned-Land Disturbance,12172 COUNTY RD 99,Clearing for residential home,08/09/2023,02/09/2024
3926,ZLD23-000078,Zoned Land Disturbance,Zoned-Land Disturbance,496 EBB TIDE LN,Adding white sand around slab of house,06/20/2023,12/20/2023
3999,ULD23-000066,Unzoned Land Disturbance,Unzoned Land Disturbance,16000 BEASLEY RD,Construction of Event Venue,07/20/2023,01/20/2024
4017,ZLD23-000097,Zoned Land Disturbance,Zoned-Land Disturbance,9290 BAY VIEW DR,Brought in 5 loads of clean white beach sand.,07/28/2023,01/28/2024
4148,ULD22-000158,Unzoned Land Disturbance,Unzoned Land Disturbance,12050 MARY ANN BEACH RD,Stock Piled Sand,12/13/2022,06/13/2023
4288,ULD23-000002,Unzoned Land Disturbance,Unzoned Land Disturbance,17655 RIVER RD,Clear underbrush & level pad with 6 to 12 inches of fill. Erect a 30' x 40' metal storage building with a 12' x 40' covered parking apron.,01/31/2023,07/31/2023
4290,ULD23-000003,Unzoned Land Disturbance,Unzoned Land Disturbance,18818 JAMES RD,Add a 24? x 26? deck to existing house,01/24/2023,07/24/2023
4292,ZLD23-000006,Zoned Land Disturbance,Zoned-Land Disturbance,COUNTY RD 1,build a seawall,04/24/2023,10/24/2023
4354,ZLD23-000008,Zoned Land Disturbance,Zoned-Land Disturbance,11423 COUNCIL LN,replace bulkhead,02/10/2023,08/10/2023
4426,ZLD23-000020,Zoned Land Disturbance,Zoned-Land Disturbance,33916 WIDELL AVE,4 Pickleball Courts to be constructed,02/21/2023,08/21/2023
4465,ULD23-000020,Unzoned Land Disturbance,Unzoned Land Disturbance,6000 HERITAGE DR,Leveling low spots in property,03/02/2023,09/02/2023
4514,ULD23-000027,Unzoned Land Disturbance,Unzoned Land Disturbance,,Clearing of Land in Preparation for open pole barns,03/15/2023,09/15/2023
4602,ZLD23-000039,Zoned Land Disturbance,Zoned-Land Disturbance,BAY RD S,lot clearing,04/26/2023,01/24/2024
4712,ZLD22-000063,Zoned Land Disturbance,Zoned-Land Disturbance,12606 SAINT FRANCIS ST,CLEAR PROPERTY,07/28/2022,01/28/2023
4798,ZLD22-000068,Zoned Land Disturbance,Zoned-Land Disturbance,2106 CLUB HOUSE DR,Repair Bulkhead Damage from Hurricane Sally,02/07/2023,08/07/2023
4896,ULD22-000126,Unzoned Land Disturbance,Unzoned Land Disturbance,10983 MCKENZIE RD,Bulkhead Repair,10/06/2022,04/06/2023
4998,ULD22-000133,Unzoned Land Disturbance,Unzoned Land Disturbance,22074 RIENDEAU LN,construct new single family residence,10/27/2022,04/27/2023
5096,ULD22-000046,Unzoned Land Disturbance,Unzoned Land Disturbance,7266 FRANKLIN RD,Dig inland cut for a boat slip,04/05/2022,10/05/2022
5152,ULD22-000050,Unzoned Land Disturbance,Unzoned Land Disturbance,20049 WEST BLVD,new home construction,04/19/2022,10/19/2022
5163,ULD22-000051,Unzoned Land Disturbance,Unzoned Land Disturbance,16492 RIVER DR,New Home,04/27/2022,10/27/2022
5207,ULD22-000054,Unzoned Land Disturbance,Unzoned Land Disturbance,7849 RIVERWOOD DR,"Demolition of old home on property. Owner unable to insure home, flood zone, and gets flooded every bad storm. Owner wishes to remove structure.",04/27/2022,10/27/2022
5218,ULD22-000055,Unzoned Land Disturbance,Unzoned Land Disturbance,19128 HEIDELBERG RD,NEW HOUSE,05/05/2022,11/05/2022
5225,ZLD22-000020,Zoned-Land Disturbance,Zoned-Land Disturbance,20701 County RD 68 N,Walk in-/ Paper application Filling a pond,05/17/2022,11/17/2022
5237,ULD22-000058,Unzoned Land Disturbance,Unzoned Land Disturbance,14492 BUTTONWOOD LN LOT 4,To construct a new single family dwelling.,05/16/2022,11/16/2022
5238,ZLD22-000023,Zoned-Land Disturbance,Zoned-Land Disturbance,35172 BOYKIN BLVD,Backyard - backfill and sod,07/01/2022,01/01/2023
5303,ZLD22-000029,Zoned-Land Disturbance,Zoned-Land Disturbance,12922 7TH ST,place dirt for mobile home pad and smooth lot,05/10/2022,11/10/2022
5304,ULD22-000068,Unzoned Land Disturbance,Unzoned Land Disturbance,14472 Buttonwood LN,To construct a new single family dwelling.,05/16/2022,11/16/2022
5602,LD21-000146,Zoning - Land Disturbance,Land Disturbance,9429 CO RD 64,grading and leveling dirt for driveway,09/19/2022,10/26/2023
5826,ULD22-000012,Unzoned Land Disturbance,Unzoned Land Disturbance,7774 CR 19,"Moving mobile home to property at 7774 CR 19, Foley, AL 36535 No land being disturbed as this is flat farm land. No fill being brought in, no grading or dredging being done.",02/03/2022,08/03/2022
5841,LD22-000018,Zoning - Land Disturbance,Land Disturbance,701 INDIAN LN,Bulkhead and 2 piers,02/15/2022,08/15/2022
5881,ULD22-000020,Unzoned Land Disturbance,Unzoned Land Disturbance,29470 ST HWY 181,Parkside Apartments,02/17/2022,08/17/2022
5898,ULD22-000024,Unzoned Land Disturbance,Unzoned Land Disturbance,14206 RIVER OAKS DR,build a 13X5 patio cover on front of home & a green house 6.5x10 on side of home.,02/17/2022,08/17/2022
6128,LD21-000063,Land Disturbance,Land Disturbance,32529 SANDPIPER DR,Clear Lot,07/14/2021,01/14/2022
6185,LD21-000070,Land Disturbance,Land Disturbance,4805 PINE CT,Sand ?fill? and sod for land erosion,07/30/2021,02/07/2024
6265,LD21-000089,Land Disturbance,Land Disturbance,17795 POLO RIDGE BLVD,Clear trees as required to construct home,08/25/2021,03/02/2023
6412,LD20-000001,Land Disturbance,Land Disturbance,00000 County Road 97,"Clearing and grubbing, grading, utility installation, and landscaping associated with new building and parking lot for a new commercial retail store.",11/04/2020,05/04/2021
6851,LD21-000014,Land Disturbance,Land Disturbance,31557 ADMIRAL CT,Clearing lot of trees & underbrush to build. No earth to be removed. Lite fill maybe required,03/03/2021,09/03/2021
6855,LD21-000015,Land Disturbance,Land Disturbance,32200 SANDPIPER DR,Lot being cleared for construction of a home,03/12/2021,09/12/2021
6874,LD21-000018,Land Disturbance,Land Disturbance,30395 ONO BLVD,Remove trees and rough grade lot to build home.,03/12/2021,09/12/2021
7058,LD21-000035,Land Disturbance,Land Disturbance,28974 ONO BLVD,Clearing Lot for New SFR,04/27/2021,10/27/2021
7210,ULD22-000037,Unzoned Land Disturbance,Unzoned Land Disturbance,16823 RIVER RD,30'x40'x14T Enclosed Pole Barn w/ 10'x40' enclosed lean to. Storage structure only. No mechanicals included.,03/16/2022,09/16/2022
7256,ULD22-000038,Unzoned Land Disturbance,Unzoned Land Disturbance,15240 COUNTY RD 49,Provide new intake building for Baldwin County Animal Shelter,03/18/2022,09/18/2022
7267,ZLD22-000005,Zoned-Land Disturbance,Zoned-Land Disturbance,6310 COUNTY RD 95,Fill Dirt Stored on lot for future house pad,04/06/2022,10/06/2022
7283,ZLD22-000007,Zoned-Land Disturbance,Zoned-Land Disturbance,6678 BEACH SHORE DR,REMOVE SAND COVERING GRINDER PUMP AREA,04/12/2022,10/12/2022
7459,ULD22-000069,Unzoned Land Disturbance,Unzoned Land Disturbance,CO RD 28,Clear and Grade Property,07/15/2022,01/14/2023
7485,ULD22-000076,Unzoned Land Disturbance,Unzoned Land Disturbance,9918 GLOVER CT,Lot 7 Gaineswood,06/09/2022,12/09/2022
7539,ZLD22-000036,Zoned Land Disturbance,Zoned-Land Disturbance,8801 SHORE DR,"Placement of 50 feet of riprap, soil, and grass along shoreline",06/13/2022,12/13/2022
7704,LD21-000151,Zoning - Land Disturbance,Land Disturbance,0 CO RD 54,clear trees & debris,12/16/2021,06/16/2022
7759,LD21-000159,Zoning - Land Disturbance,Land Disturbance,8780 NEUMANN DR,Retaining wall to prepare for a swimming pool.,12/09/2021,06/09/2022
7771,LD21-000164,Zoning - Land Disturbance,Land Disturbance,21300 OLD BRADY RD,Double wide mobile home and pad prepared by mobile home sales staff,12/06/2021,06/06/2022
7784,LD21-000167,Zoning - Land Disturbance,Land Disturbance,0 MONTELUCIA WAY,sitework for construction of subdivision and appurtenances,01/28/2022,07/28/2022
7822,LD21-000174,Zoning - Land Disturbance,Land Disturbance,9000 Alpine CT,I will be clearing trees and brush for access to home site and where I will be building a pole barn. Then clearing trees and shrubs for home site. Minimal dirt movement except to dress driveway and fill in stump holes,01/19/2022,07/19/2022
7878,LD22-000001,Zoning - Land Disturbance,Land Disturbance,5432 BEACH BLVD,"I had sand removed from my driveway back to the beach in front of my house. The sand was a result of Hurricane Sally and the removal was to maintain my driveway. I spoke to Bill Lynn on December 10th and understand that I must have approval from US Fish and Wildlife before I begin ANY project on my property. I also spoke with Janie Joiner, Mitigation Coordinator on December 10th. I spoke by phone to Orie King today and understand that I must have a permit from Baldwin County Planning and Zoning Department before I clear my drive in the future. The sand was removed back to the beach hopefully to create a dune.",01/19/2022,07/19/2022
7889,LD22-000006,Zoning - Land Disturbance,Land Disturbance,9288 BAY RD S,"Put on soil, cut down trees, and flatten the land",01/19/2022,07/19/2022
7894,ULD22-000001,Unzoned Land Disturbance,Unzoned Land Disturbance,11947 CO RD 65,Site prep for Pole Barn,01/27/2022,07/27/2022
7901,ULD22-000003,Unzoned Land Disturbance,Unzoned Land Disturbance,7959 MANDALAY CIR,Construction of new build,01/25/2022,07/25/2022
7925,LD22-000013,Zoning - Land Disturbance,Land Disturbance,0 CLARK RIDGE RD,Prep for Boat dock,02/15/2022,08/15/2022
7975,LD22-000030,Zoning - Land Disturbance,Land Disturbance,10580 COUNTY RD 64,Remove concert pool and grade area.,02/24/2022,08/24/2022
8042,LD22-000046,Zoning - Land Disturbance,Land Disturbance,17739 SCENIC HWY 98,grading out high spots so water will properly drain out,03/16/2022,09/16/2022
8054,LD22-000050,Zoning - Land Disturbance,Land Disturbance,FACKLER RD,Installing culverts in drainage ditch to access back side of property,10/21/2022,04/21/2023
8062,ULD22-000029,Unzoned Land Disturbance,Unzoned Land Disturbance,7110 CAMELLIA DELL LN,To provide for a new slab and move existing house out of flood zone,02/07/2023,11/12/2023
8188,ZLD23-000046,Zoned Land Disturbance,Zoned-Land Disturbance,11923 COUNTY RD 1,Filling and Grading Land,05/11/2023,01/12/2024
8213,ZLD23-000048,Zoned Land Disturbance,Zoned-Land Disturbance,12871 -A LIPSCOMB RD,Pond Enlargement & Grading,05/04/2023,11/04/2023
8324,ZLD23-000061,Zoned Land Disturbance,Zoned-Land Disturbance,29657 SAINT JOHN DR,"Install new pier, boathouse, retaining wall , lot clear and dredge",06/13/2023,12/13/2023
8433,ZLD23-000075,Zoned Land Disturbance,Zoned-Land Disturbance,24946 CANDIDO DR,Laying gravel for road and tree clearance,06/21/2023,12/21/2023
8502,ZLD23-000083,Zoned Land Disturbance,Zoned-Land Disturbance,35385 BOYKIN BLVD,lot clearing,07/06/2023,01/06/2024
8514,ZLD23-000086,Zoned Land Disturbance,Zoned-Land Disturbance,11629 COUNTY RD 1,"Rip rap shore line, pier and regrade",07/13/2023,01/13/2024
8533,ULD23-000062,Unzoned Land Disturbance,Unzoned Land Disturbance,16616 COUNTY RD 16,Bringing in dirt for a pad to install a mobile home.,07/06/2023,01/06/2024
8592,ZLD23-000102,Zoned Land Disturbance,Zoned-Land Disturbance,13620 NOLTE CREEK DR,Clearing of trees and other debris,07/31/2023,01/31/2024
8598,ZLD23-000106,Zoned Land Disturbance,Zoned-Land Disturbance,32143 RIVER COVE DR,Building a boathouse,08/02/2023,02/02/2024
8733,LD21-000066,Land Disturbance,Land Disturbance,17569 SCENIC HWY 98,installing a drive way,08/05/2021,02/05/2022
8824,LD21-000084,Land Disturbance,Land Disturbance,0 SANDPIPER DR,Clear the lot of all trees and shrubs.,08/24/2021,02/24/2022
8831,LD21-000086,Land Disturbance,Land Disturbance,7135 GABLE ST,Site Work for New Single Family Dwelling,10/04/2021,04/04/2022
8854,LD21-000093,Land Disturbance,Land Disturbance,30757 PENINSULA DR,Clear lot,10/07/2021,04/07/2022
8896,LD21-000096,Land Disturbance,Land Disturbance,10834 CO RD 64,construction of two retail spaces and a gym.,09/16/2021,03/16/2022
8953,LD21-000106,Land Disturbance,Land Disturbance,10611 CO RD 1,Cutting Trees in preparation to build. No dirt removal or addition is being done. We are simply removing brush and trees.,10/05/2021,04/05/2022
8958,LD21-000109,Land Disturbance,Land Disturbance,13625 SCENIC HWY 98,"Install onsite catch basins (24x24) using 6"" sewer and drain pipe with backflow preventers installed to pipe out water through the bulkhead into the bay. Also installing some irrigation and sod. Bringing in screened subsoil to properly grade with.",12/13/2021,06/13/2022
9113,ULD22-000156,Unzoned Land Disturbance,Unzoned Land Disturbance,17424 PIERCE LN,"demolition of old existing home, construction of new home on same general footprint",12/05/2022,06/05/2023
9261,ULD23-000004,Unzoned Land Disturbance,Unzoned Land Disturbance,13697 NORRIS LN,Residential house,01/24/2023,07/24/2023
9318,ULD23-000009,Unzoned Land Disturbance,Unzoned Land Disturbance,12493 MARY ANN BEACH RD,"brush and limbs pile within 50 feet of possible wetlands 30ï¿½24'22.82""N , 87ï¿½51'21.11""W , minor grading after removal of prior owners rubbish pile",02/09/2023,08/09/2023
9455,ULD23-000028,Unzoned Land Disturbance,Unzoned Land Disturbance,16421 BON BAY DR,PREPARE SITE FOR NEW HOUSE,03/23/2023,09/23/2023
10132,ZLD22-000069,Zoned Land Disturbance,Zoned-Land Disturbance,13804 SCENIC HWY 98,Clear house site,08/25/2022,02/25/2023
10140,ZLD22-000071,Zoned Land Disturbance,Zoned-Land Disturbance,9202 BAY VIEW DR,Bulkhead Repair,08/29/2022,02/28/2023
10148,ZLD22-000074,Zoned Land Disturbance,Zoned-Land Disturbance,9300 COUNTY RD 99,bulkhead repair and boat lift replacement,01/24/2023,07/24/2023
10183,ULD22-000122,Unzoned Land Disturbance,Unzoned Land Disturbance,4435 COUNTY RD 6,900 Square Foot Residence and RV Pads,11/01/2022,05/01/2023
10184,ULD22-000123,Unzoned Land Disturbance,Unzoned Land Disturbance,RABUN RD,NOVELIS GOLDENEYE,09/13/2022,03/13/2023
10191,ULD22-000124,Unzoned Land Disturbance,Unzoned Land Disturbance,12427 MEADOW RD,Addition and Remodel,09/20/2022,03/20/2023
10200,ULD22-000125,Unzoned Land Disturbance,Unzoned Land Disturbance,15434 DANNE RD,Clearing Lot for Future Home,10/21/2022,04/21/2023
10287,ZLD22-000083,Zoned Land Disturbance,Zoned-Land Disturbance,,Filling in easement/road with red dirt,10/20/2022,04/20/2023
10292,ZLD22-000084,Zoned Land Disturbance,Zoned-Land Disturbance,18305 SCENIC HWY 98,"Remove rotten lien too shed from rear of old store building. ( North side). Remove trees as marked, grind stumps or dig up stumps.",11/08/2022,05/08/2023
10380,ZLD22-000091,Zoned Land Disturbance,Zoned-Land Disturbance,,Clear land,11/16/2022,05/16/2023
10438,LD20-000003,Land Disturbance,Land Disturbance,14770 SCENIC HWY 98,Cleaning and light grading of property in preparation for my house to be built. The lot is level with the exceptions of a very few areas . I want to level it out and clear any small bushy brush. I will place hay bails in any areas where there might be any concerns of runoff.,11/20/2020,05/20/2021
10565,LD20-000008,Land Disturbance,Land Disturbance,10817 AL-180,"Filling, Grading, excavating to build a restaurant and parking lot",12/17/2020,06/17/2021
10923,ZLD23-000024,Zoned Land Disturbance,Zoned-Land Disturbance,COUNTY RD 32,Driveway upgrade,03/15/2023,09/15/2023
10935,ULD23-000019,Unzoned Land Disturbance,Unzoned Land Disturbance,28310 BEAU CHENE CT,Installing Inground Gunite Pool/A cartridge filter will be installed with no backwash.,03/13/2023,09/13/2023
10949,ULD23-000022,Unzoned Land Disturbance,Unzoned Land Disturbance,7474 COOPERS LANDING RD,Reinforcing existing Bulkhead,03/10/2023,09/10/2023
11015,ZLD23-000034,Zoned Land Disturbance,Zoned-Land Disturbance,11732 SAINT MICHAEL WAY,Grade and construct football field. Install new pipe and drainage structures. Seed and sod disturbed areas. Install field lighting. NO CONSTRUCTION OF BUILDINGS OR STADIUM IS PROPOSED AT THIS TIME.,04/19/2023,10/19/2023
11111,ULD23-000035,Unzoned Land Disturbance,Unzoned Land Disturbance,10118 COLEMAN LN,Residential Modification,05/02/2023,11/02/2023
11268,ULD23-000045,Unzoned Land Disturbance,Unzoned Land Disturbance,16862 DIBERVILLE LN,new construction,05/30/2023,11/30/2023
11379,ZLD23-000074,Zoned Land Disturbance,Zoned-Land Disturbance,31667 KRIEGER LN,Building a one acre pond for livestock and moving the dirt to build a pad for a future barn.,06/20/2023,12/20/2023
11463,ZLD23-000087,Zoned Land Disturbance,Zoned-Land Disturbance,15333 SCENIC HWY 98,"Repair, Replace, Excavate and Backfill Bulkhead",07/11/2023,01/11/2024
11526,ULD23-000073,Unzoned Land Disturbance,Unzoned Land Disturbance,15434 DANNE RD,Clearing addition,07/26/2023,01/26/2024
11686,ZLD22-000093,Zoned Land Disturbance,Zoned-Land Disturbance,9545 BAY RD,Do minor maintenance by adding sand to level some low spots,12/02/2022,06/02/2023
11693,ZLD22-000094,Zoned Land Disturbance,Zoned-Land Disturbance,1237 STATE HWY 180,Driveway,03/14/2023,09/14/2023
11734,ZLD22-000097,Zoned Land Disturbance,Zoned-Land Disturbance,33601 U S HWY 98,Site Work for Sunset Storage,12/15/2022,06/15/2023
11929,ULD23-000006,Unzoned Land Disturbance,Unzoned Land Disturbance,,Single family home,02/10/2023,08/10/2023
12071,ULD22-000093,Unzoned Land Disturbance,Unzoned Land Disturbance,17451 COUNTY RD 49,New construction of restaurant,07/21/2022,02/14/2024
12084,ZLD22-000058,Zoned Land Disturbance,Zoned-Land Disturbance,7358 KIVA WAY,"removing/replacing broken driveway concrete, repouring new concrete & regrading",08/30/2022,02/28/2023
12328,ZLD22-000081,Zoned Land Disturbance,Zoned-Land Disturbance,646 BONITA CT,Replace existing 237' seawall,09/30/2022,03/30/2023
12446,LD22-000051,Zoning - Land Disturbance,Land Disturbance,3242 SPANISH COVE DR,Land clearing for construction,03/18/2022,09/18/2022
12597,ULD22-000052,Unzoned Land Disturbance,Unzoned Land Disturbance,9731 CO RD 65,Horus Storage,04/27/2022,10/27/2022
12796,ZLD22-000035,Zoned Land Disturbance,Zoned-Land Disturbance,22373 CO RD 64,Grade a gravel drive to Northeast corner of property,03/09/2023,09/09/2023
12895,LD21-000118,Land Disturbance,Land Disturbance,4668 BAYOU CT,New construction,10/14/2021,04/14/2022
12919,LD21-000121,Land Disturbance,Land Disturbance,9545 BAY RD S,"place white sand, top soil, and sod and/or seed",10/15/2021,04/15/2022
13104,LD21-000168,Zoning - Land Disturbance,Land Disturbance,8831 BAPTIST CAMP RD,"building a contoured flower bed , Starting 8 inches off the ground to 36 inches off the ground. Roughly 120 feet long. Roughly 3 ft wide. This is going in front of a privacy fence.",12/09/2021,06/09/2022
13123,LD21-000171,Zoning - Land Disturbance,Land Disturbance,10225 BAYOU CIR,Moving 2 piles of dirt that exist on property into low areas and pulling back dirt from bulkhead the repair tie backs.,12/15/2021,07/19/2022
13143,LD21-000176,Zoning - Land Disturbance,Land Disturbance,0 SOUTH BREAKERS LN,"LEVELING GROUND TO GRADE, INSTALLING DRAIN PIPE",09/15/2022,03/15/2023
13266,LD22-000028,Zoning - Land Disturbance,Land Disturbance,17260 SCENIC HWY 98,Clear Lot,02/24/2022,08/24/2022
13643,LD21-000091,Land Disturbance,Land Disturbance,4437 ISLAND CT,clear property,09/01/2021,03/01/2022
13666,LD21-000094,Land Disturbance,Land Disturbance,17697 A SCENIC HWY 98,"To clean organics for new residence, including grubbing to prepare for new construction. Small tree removal in footprint of new home.",09/21/2021,03/21/2022
13725,LD21-000100,Land Disturbance,Land Disturbance,24297 CO RD 13,"Site grading, underground storm water system, road construction",11/19/2021,10/12/2023
13906,LD20-000009,Land Disturbance,Land Disturbance,10213 COUNTY RD 64,Retail Parking Lot,12/29/2020,06/29/2021
13985,LD21-000002,Land Disturbance,Land Disturbance,30852 Ono North LOOP,land clearing for future single family residence,01/14/2021,07/14/2021
14097,LD21-000006,Land Disturbance,Land Disturbance,36625 A STATE HWY 225,clear trees and underbrush for new Boat and RV storage,03/25/2021,09/25/2021
14189,LD21-000013,Land Disturbance,Land Disturbance,,Hurricane Sally uprooted many trees on my lot. I would like to bring in some sand/clay mixture to fill and level the large holes that resulted from tree roots being removed.,03/02/2021,09/02/2021
14216,LD21-000016,Land Disturbance,Land Disturbance,29431 STATE HWY 181,Filling existing pond,03/19/2021,09/19/2021
14272,LD21-000024,Land Disturbance,Land Disturbance,0 CO RD 99,"Fill dirt in revine, grading, removal of trees and debris. Neighbor is aware and pleased with this plan. My brother who is contractor in Florida will be doing the work.",04/12/2021,10/12/2021
